"screen","hardcoded_count"
"lib/screens/users/niveis_acesso_screen.dart","15"
"lib/screens/utility/historico_itens_screen.dart","9"
"lib/screens/utility/item_management_screen.dart","8"
"lib/screens/apartments/manage_apartment_items_screen.dart","8"
"lib/screens/utility/reports_screen.dart","6"
"lib/screens/agendamentos/agendamento_ui_kit.dart","5"
"lib/screens/agendamentos/agendamentos_lista_screen.dart","5"
"lib/screens/maintenance/manutencao_preventiva_lista_screen.dart","5"
"lib/screens/core/maintenance_detail_screen.dart","5"
"lib/screens/utility/settings_screen.dart","4"
"lib/screens/utility/qr_code_batch_screen.dart","4"
"lib/screens/solicitacoes/solicitacao_lista_screen.dart","4"
"lib/screens/core/maintenance_request_screen.dart","3"
"lib/screens/detalhe_ativo_screen.dart","3"
"lib/screens/apartments/apartment_detail_screen.dart","3"
"lib/screens/core/maintenance_list_screen.dart","2"
"lib/screens/maintenance/manutencao_preventiva_form_screen.dart","2"
"lib/screens/agendamentos/funcionario_aceitar_agendamento_screen.dart","2"
"lib/screens/users/user_detail_screen.dart","2"
"lib/screens/historico_ativo_screen.dart","2"
"lib/screens/core/dashboard_screen.dart","2"
"lib/screens/auth/login_screen.dart","1"
"lib/screens/agendamentos/editar_agendamento_screen.dart","1"
"lib/screens/users/manage_residents_screen.dart","1"
"lib/screens/agendamentos/criar_agendamento_manutencao_simples_screen.dart","1"
"lib/screens/agendamentos/agendamento_detalhes_screen.dart","1"
"lib/screens/utility/manage_request_types_screen.dart","1"
"lib/screens/gestao_ativos_screen.dart","1"
"lib/screens/core/maintenance_list_screen_v2.dart","1"
